Brand Name,Product URL,Image,Product Ratings,Number of ratings,Product Info,Selling Price,Price,Discount
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-rust--mustard-yellow-printed-pure-cotton-kurti/19791536/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19791536/2022/12/6/a58bfef4-05ac-4c27-9d39-17073c7757171670314799026RainRainbowRustMustardYellowPrintedPureCottonKurti1.jpg",4.2,28,Printed Pure Cotton Kurti,837,1395,(40% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-blue-embroidered-pure-cotton-a-line-kurti/12037942/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12037942/2020/7/16/3742b5ab-5a55-4799-a4eb-b865e054b5b11594896835907-HERENOW-Women-Blue-Embroidered-A-line-Kurti-581594896833716-1.jpg",4.2,805,Embroidered Pure Cotton A-Line Kurti,719,1799,(60% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-women-off-white--blue-printed-pure-cotton-indigo-anarkali-kurta/10960690/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10960690/2019/12/31/50e2ba4a-1f47-46b0-9f88-5f10a79703911577792756781-Anouk-Women-Kurtas-1421577792754782-1.jpg",4.2,2800,Printed Pure Cotton Indigo Anarkali Kurta,594,1699,(65% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-pink-ethnic-motifs-printed-kurti/17413232/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17413232/2022/3/17/c861897a-f6d5-40fc-8336-a007cce0bede1647511510301-Anubhutee-Women-Kurtis-6081647511509773-1.jpg",4.3,1100,Ethnic Motifs Printed Kurti,521,1739,(70% OFF)
GERUA,https://www.myntra.com/kurtis/gerua/gerua-women-black--pink-ethnic-motifs-printed-pleated-kurti/18122558/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18122558/2022/5/13/40d1233b-42d5-450f-afbe-458c0cd0365a1652444443468-GERUA-Women-Kurtis-2021652444443064-1.jpg",4.2,157,Ethnic Motifs Printed Kurti,449,1499,(70% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-green--pink-floral-printed-sequinned-pure-cotton-kurti/17606376/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17606376/2022/4/4/7fd8e8fe-963a-4601-bc9a-4806a356cb131649073184276-Rain--Rainbow-Women-Kurtis-8521649073183773-1.jpg",4.4,88,Floral Printed Cotton Kurti,877,1595,(45% OFF)
ZNX Clothing,https://www.myntra.com/kurtis/znx-clothing/znx-clothing-maroon-ethnic-motifs-printed-flared-sleeves-kaftan-kurti/18197970/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18197970/2022/5/9/e90056e9-7128-4874-a67f-d64ef1ee06ed1652081627006ZNXClothingWomenMaroonFlaredSleevesCrepeKaftanKurta1.jpg",3.9,753,Ethnic Motifs Printed Kaftan Kurti,698,2199,(Rs. 1501 OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-burgundy--pink-ethnic-motifs-printed-sweetheart-neck-kurti/14885766/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14885766/2022/8/26/3a5f774a-b25c-4f8a-b8e2-e7f433b0b52c1661518316779HERENOWBurgundyPinkEthnicMotifsPrintedSweetheartNeckKurti1.jpg",4.1,482,Ethnic Motifs Printed Kurti,545,1299,(58% OFF)
MissKurti,https://www.myntra.com/kurtis/misskurti/misskurti-off-white-tribal-embroidered-thread-work-kurti/18735930/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18735930/2022/7/20/3955b12f-2a8a-404a-8ef2-adda3da168a11658301967540-Womens-Offwhite-Embroidered-Top-8901658301967033-1.jpg",4.1,131,Tribal Embroidered Kurti,,,
Anouk,https://www.myntra.com/kurtis/anouk/anouk-navy-blue--white-printed-pure-cotton-round-neck-a-line-kurti/16190882/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16190882/2022/2/11/bf92d0f8-801b-447c-a041-9701894d26fd1644558417540-Anouk-Women-Kurtis-2801644558416652-1.jpg",4.3,102,Printed Pure Cotton Kurti,559,1599,(65% OFF)
